Name,ñºëO,Univ,Dept,Title,Style,Field,Top5,Media,YOG,Lct,journal,authors
"MUROOKA, Takeshi",é∫â™ åíéu,Munich,Econ,Assi,Both,Behav,NA,NA,2007,Euro,Economic Letters,4
"MUROOKA, Takeshi",é∫â™ åíéu,Munich,Econ,Assi,Both,Behav,NA,NA,2007,Euro,Japanese Economic Review,2
"MUROOKA, Takeshi",é∫â™ åíéu,Munich,Econ,Assi,Both,Behav,NA,NA,2007,Euro,Operations Research Letters,3
"MIYAMOTO, Sho",ã{ñ{ „ƒ,Leuven,Econ,Other,Theory,Micro,NA,NA,2006,Euro,none,
"AOKI, Yu",ê¬ñÿ óV,Aberdeen,Busi,Assi,Applied,Labor,NA,NA,2004,UK,Applied Economics Letters,2
"TANAKA, Satoshi",ìcíÜ ëèéj,Queensland,Econ,Assi,Applied,Labor,NA,NA,2004,Aus,none,
"TANAKA, Atsuko",ìcíÜ ì÷éq,Calgary,Econ,Assi,Applied,Labor,NA,NA,2004,Can,none,
"OHINATA, Asako",ëÂì˙å¸ ñÉéq,Leicester,Econ,Assi,Applied,Other,NA,NA,2004,UK,Economic Letters,2
"OHINATA, Asako",ëÂì˙å¸ ñÉéq,Leicester,Econ,Assi,Applied,Other,NA,NA,2004,UK,Economic Journal,2
"FUNAI, Naoki",x x,Birmingham,Econ,Other,Theory,Game,NA,NA,2003,UK,The B.E. Journal of Theoretical Economics,1
"FUNAI, Naoki",x x,Birmingham,Econ,Other,Theory,Game,NA,NA,2003,UK,Games,1
"KISO, Takahiko",x x,Aberdeen,Econ,Prof,Applied,Micro,NA,NA,2003,UK,none,
"YAMASHITA, Takuro",éRâ∫ ëÒòN,Toulouse,Econ,Assi,Theory,Micro,NA,NA,2003,Euro,Econometrica,1
"YAMASHITA, Takuro",éRâ∫ ëÒòN,Toulouse,Econ,Assi,Theory,Micro,NA,NA,2003,Euro,Journal of Economic Theory,1
"YAMASHITA, Takuro",éRâ∫ ëÒòN,Toulouse,Econ,Assi,Theory,Micro,NA,NA,2003,Euro,Review of Economic Studies,1
"WAKI, Yuichiro",òe óYàÍòY,Queensland,Econ,Assi,Both,Macro,NA,NA,2003,Aus,Journal of Economic Dynamics and Control,2
"WAKI, Yuichiro",òe óYàÍòY,Queensland,Econ,Assi,Both,Macro,NA,NA,2003,Aus,Japanese Economic Review,2
"KASHIWAGI, Masanori",îêñÿ èπê¨,Taiwan,Econ,Assi,Applied,Macro,NA,NA,2003,Asia,Pacific Economic Review,1
"KASHIWAGI, Masanori",îêñÿ èπê¨,Taiwan,Econ,Assi,Applied,Macro,NA,NA,2003,Asia,Journal of Housing Economics,1
"KASHIWAGI, Masanori",îêñÿ èπê¨,Taiwan,Econ,Assi,Applied,Macro,NA,NA,2003,Asia,Review of Economic Dynamics,1
"KASHIWAGI, Masanori",îêñÿ èπê¨,Taiwan,Econ,Assi,Applied,Macro,NA,NA,2003,Asia,Open Economies Review,1
"KASHIWAGI, Masanori",îêñÿ èπê¨,Taiwan,Econ,Assi,Applied,Macro,NA,NA,2003,Asia,Japan and the World Economy,1
"KAWAI, Keiichi",âÕçá å[àÍ,UNSW,Econ,Assi,Theory,Game,NA,NA,2003,Aus,Games and Economic Behavior,1
"KAWAI, Keiichi",âÕçá å[àÍ,UNSW,Econ,Assi,Theory,Game,NA,NA,2003,Aus,European Economic Review,1
"KAWAI, Keiichi",âÕçá å[àÍ,UNSW,Econ,Assi,Theory,Game,NA,NA,2003,Aus,Games and Economic Behavior,1
"KAWAI, Keiichi",âÕçá å[àÍ,UNSW,Econ,Assi,Theory,Game,NA,NA,2003,Aus,Japanese Economic Review,2
"KAWAI, Keiichi",âÕçá å[àÍ,UNSW,Econ,Assi,Theory,Game,NA,NA,2003,Aus,Games and Economic Behavior,2
"KAWAI, Keiichi",âÕçá å[àÍ,UNSW,Econ,Assi,Theory,Game,NA,NA,2003,Aus,Economic Letters,1
"TSUYUHARA, Kunio",òIå¥ ñMïv,Calgary,Econ,Assi,Theory,Micro,NA,NA,2002,Can,Journal of Economic Development,1
"TSUYUHARA, Kunio",òIå¥ ñMïv,Calgary,Econ,Assi,Theory,Micro,NA,NA,2002,Can,Economics Bulletin,1
"HONRYO, Takakazu",x x,Mannheim,Econ,Assi,Theory,Micro,NA,NA,2002,Euro,Review of International Economics,2
"HONRYO, Takakazu",x x,Mannheim,Econ,Assi,Theory,Micro,NA,NA,2002,Euro,International Journal of Economic Theory,2
"HONRYO, Takakazu",x x,Mannheim,Econ,Assi,Theory,Micro,NA,NA,2002,Euro,Journal of Mathematical Economics,2
"OKA, Tatsushi",â™ íBéu ,NUS,Econ,Assi,Theory,Metrics,NA,NA,2002,Asia,Journal of Econometrics,2
"OKA, Tatsushi",â™ íBéu ,NUS,Econ,Assi,Theory,Metrics,NA,NA,2002,Asia,Journal of Applied Econometrics,2
"OKA, Tatsushi",â™ íBéu ,NUS,Econ,Assi,Theory,Metrics,NA,NA,2002,Asia,Journal of Econometrics,2
"IKEFUJI, Masako",ê∂ì° èπéq,Southern Denmark,Other,Assi,Both,Macro,NA,NA,2002,Euro,Environmental and Resource Economics,3
"IKEFUJI, Masako",ê∂ì° èπéq,Southern Denmark,Other,Assi,Both,Macro,NA,NA,2002,Euro,International Economic Review,3
"IKEFUJI, Masako",ê∂ì° èπéq,Southern Denmark,Other,Assi,Both,Macro,NA,NA,2002,Euro,Climatic Change,3
"IKEFUJI, Masako",ê∂ì° èπéq,Southern Denmark,Other,Assi,Both,Macro,NA,NA,2002,Euro,Theory and Decision,3
"IKEFUJI, Masako",ê∂ì° èπéq,Southern Denmark,Other,Assi,Both,Macro,NA,NA,2002,Euro,Journal of Public Economics,2
"IKEFUJI, Masako",ê∂ì° èπéq,Southern Denmark,Other,Assi,Both,Macro,NA,NA,2002,Euro,Journal of Economics,1
"IKEFUJI, Masako",ê∂ì° èπéq,Southern Denmark,Other,Assi,Both,Macro,NA,NA,2002,Euro,Journal of Public Economic Theory,2
"MINAMIHASHI, Naoaki",ìÏã¥ èÆñæ,Gothenburg,Busi,Other,Applied,IO,NA,NA,2002,Euro,"Journal of Money, Credit and Banking",1
"KITAGAWA, Toru",ñkêÏ ìß,UCL,Econ,Assi,Theory,Metrics,NA,NA,2002,UK,Statististical Science,2
"KITAGAWA, Toru",ñkêÏ ìß,UCL,Econ,Assi,Theory,Metrics,NA,NA,2002,UK,Journal of Econometrics,2
"KITAGAWA, Toru",ñkêÏ ìß,UCL,Econ,Assi,Theory,Metrics,NA,NA,2002,UK,Econometrica,1
"TESHIMA, Kensuke",éËìá åíâÓ,ITAM,Econ,Assi,Applied,Dev,NA,NA,2001,Other,none,
"KAWAKAMI, Kei",êÏè„ å\,Melbourne,Econ,Assi,Both,Macro,NA,NA,2001,Aus,Journal of the Japanese and International Economies,1
"KAWAKAMI, Kei",êÏè„ å\,Melbourne,Econ,Assi,Both,Macro,NA,NA,2001,Aus,International Journal of Game Theory,1
"KUDAMATSU, Masayuki",â∫èº ê^îV,Stockholm,Other,Assi,Applied,Dev,NA,NA,2000,Euro,Journal of the European Economic Association,3
"KUDAMATSU, Masayuki",â∫èº ê^îV,Stockholm,Other,Assi,Applied,Dev,NA,NA,2000,Euro,Journal of the European Economic Association,1
"YAMASHITA, Nobu",éRâ∫ íºãP,RMIT,Econ,Asso,Applied,Intl,NA,NA,2000,Aus,,
"KANAYA, Shin",ã‡íJ êM,Aarhus,Busi,Assi,Theory,Metrics,NA,NA,2000,Euro,Econometric Theory,3
"YAMADA, Ken",éRìc åõ,SMU,Econ,Assi,Applied,Labor,NA,NA,2000,Asia,Journal of Gerontology: Social Sciences,2
"YAMADA, Ken",éRìc åõ,SMU,Econ,Assi,Applied,Labor,NA,NA,2000,Asia,Scandinavian Journal of Statistics,3
"YAMADA, Ken",éRìc åõ,SMU,Econ,Assi,Applied,Labor,NA,NA,2000,Asia,Journal of Economic Inequality,2
"YAMADA, Ken",éRìc åõ,SMU,Econ,Assi,Applied,Labor,NA,NA,2000,Asia,Review of Economic Dynamics,5
"YAMADA, Ken",éRìc åõ,SMU,Econ,Assi,Applied,Labor,NA,NA,2000,Asia,Labour Economics,3
"YAMADA, Ken",éRìc åõ,SMU,Econ,Assi,Applied,Labor,NA,NA,2000,Asia,Labour Economics,1
"YAMADA, Ken",éRìc åõ,SMU,Econ,Assi,Applied,Labor,NA,NA,2000,Asia,Applied Economics Letters,1
"YAMADA, Ken",éRìc åõ,SMU,Econ,Assi,Applied,Labor,NA,NA,2000,Asia,Contemporary Economic Policy,2
"YAMADA, Ken",éRìc åõ,SMU,Econ,Assi,Applied,Labor,NA,NA,2000,Asia,Applied Economics Letters,1
"SHIMOKAWA, Satoru",â∫êÏ ìN,HKUST,Other,Assi,Applied,Dev,NA,NA,2000,Asia,Journal of Integrative Agriculture,1
"SHIMOKAWA, Satoru",â∫êÏ ìN,HKUST,Other,Assi,Applied,Dev,NA,NA,2000,Asia,Food Policy,1
"SHIMOKAWA, Satoru",â∫êÏ ìN,HKUST,Other,Assi,Applied,Dev,NA,NA,2000,Asia,American Journal of Agricultural Economics,1
"SHIMOKAWA, Satoru",â∫êÏ ìN,HKUST,Other,Assi,Applied,Dev,NA,NA,2000,Asia,World Development,1
"SHIMOKAWA, Satoru",â∫êÏ ìN,HKUST,Other,Assi,Applied,Dev,NA,NA,2000,Asia,Asia Pacific Journal of Clinical Nutrition,3
"SHIMOKAWA, Satoru",â∫êÏ ìN,HKUST,Other,Assi,Applied,Dev,NA,NA,2000,Asia,Food Policy,2
"SHIMOKAWA, Satoru",â∫êÏ ìN,HKUST,Other,Assi,Applied,Dev,NA,NA,2000,Asia,Applied Economics,1
"YOSHIMOTO, Hisayuki",x x,Glasgow,Busi,Assi,Applied,IO,NA,NA,2000,UK,none,
"YOKOTANI, Akira",â°íJ ó∫,Queensland,Econ,Other,Theory,Game,NA,NA,2000,Aus,,
"TAKAHASHI, Satoru",çÇã¥ åÂ,NUS,Econ,Prof,Theory,Game,NA,NA,2000,Asia,Econometrica,3
"TAKAHASHI, Satoru",çÇã¥ åÂ,NUS,Econ,Prof,Theory,Game,NA,NA,2000,Asia,Journal of Economic Theory,2
"TAKAHASHI, Satoru",çÇã¥ åÂ,NUS,Econ,Prof,Theory,Game,NA,NA,2000,Asia,Journal of Economic Theory,3
"TAKAHASHI, Satoru",çÇã¥ åÂ,NUS,Econ,Prof,Theory,Game,NA,NA,2000,Asia,Games and Economic Behavior,3
"TAKAHASHI, Satoru",çÇã¥ åÂ,NUS,Econ,Prof,Theory,Game,NA,NA,2000,Asia,Journal of Economic Theory,2
"TAKAHASHI, Satoru",çÇã¥ åÂ,NUS,Econ,Prof,Theory,Game,NA,NA,2000,Asia,Quantitative Economics,2
"TAKAHASHI, Satoru",çÇã¥ åÂ,NUS,Econ,Prof,Theory,Game,NA,NA,2000,Asia,Games and Economic Behavior,2
"TAKAHASHI, Satoru",çÇã¥ åÂ,NUS,Econ,Prof,Theory,Game,NA,NA,2000,Asia,Japanese Economic Review,3
"TAKAHASHI, Satoru",çÇã¥ åÂ,NUS,Econ,Prof,Theory,Game,NA,NA,2000,Asia,Journal of Mathematical Economics,2
"TAKAHASHI, Satoru",çÇã¥ åÂ,NUS,Econ,Prof,Theory,Game,NA,NA,2000,Asia,International Journal of Economic Theory,3
"TAKAHASHI, Satoru",çÇã¥ åÂ,NUS,Econ,Prof,Theory,Game,NA,NA,2000,Asia,Econometrica,4
