Name,名前,Univ,Dept,Title,Style,Field,YOG,Lct
"SATO, Yuki",佐藤 x,Lausanne,Busi,Assi,Theory,Fin,200x,Euro
"IGARASHI, Yosuke",五十嵐 洋介,Exeter,Busi,Assi,Theory,Fin,200x,UK
"SUZUKI, Toru",鈴木 亨,UTS,Econ,Assi,Theory,Game,200x,Aus
"NARITA, Yusuke",成田 悠輔,Yale,Econ,Other,Both,Micro,2009,USA
"IIJIMA, Ryota",飯島 良太,Yale,Econ,Other,Theory,Micro,2009,USA
"ISHII, Yuhta",石井 x,ITAM,Econ,Assi,Theory,Game,2008,Other
"ONISHI, Ken",大西 健,SMU,Econ,Assi,Applied,IO,2008,Asia
"TAKAHASHI, Hidenori",x x,Mannheim,Econ,Assi,Applied,IO,2008,Euro
"TOMOEDA, Kentaro",友枝 健太郎,UTS,Busi,Assi,Theory,Micro,2008,Aus
"MUROOKA, Takeshi",室岡 健志,Munich,Econ,Assi,Both,Behav,2007,Euro
"KAMADA, Yuichiro",鎌田 雄一郎,UC Berkeley,Busi,Assi,Theory,Game,2007,USA
"SAIJO, Hikaru",西條 光,UC Santa Cruz,Econ,Assi,Theory,Macro,2007,USA
"FUJII, Daisuke",藤井 x,USC,Econ,Other,Both,Intl,2007,USA
"HASHIMOTO, Tadashi",橋本 理,Yeshiva,Econ,Assi,Theory,Game,2006,USA
"NISHIMURA, Hiroki",西村 x,UC Riverside,Econ,Assi,Theory,Micro,2006,USA
"MIYAMOTO, Sho",宮本 翔,Leuven,Econ,Other,Theory,Micro,2006,Euro
"SUGAYA, Takuo",菅谷 拓生,Stanford,Busi,Assi,Theory,Game,2005,USA
"SAITO, Kota",斉藤 紘多,Caltech,Other,Assi,Theory,Micro,2005,USA
"AWAYA, Yu",粟屋祐,Rochester,Econ,Assi,Theory,Micro,2005,USA
"UETAKE, Kosuke",上武 康亮,Yale,Mngm,Assi,Applied,IO,2005,USA
"TANAKA, Shinsuke",田中 伸介,Tufts,PubP,Assi,Applied,Micro,2005,USA
"AOKI, Yu",青木 遊,Aberdeen,Busi,Assi,Applied,Labor,2004,UK
"TANAKA, Satoshi",田中 聡史,Queensland,Econ,Assi,Applied,Labor,2004,Aus
"KAWAI, Kei",川合 慶,UC Berkeley,Econ,Assi,Applied,IO,2004,USA
"TANAKA, Atsuko",田中 敦子,Calgary,Econ,Assi,Applied,Labor,2004,Can
"AIZAWA, Naoki",相澤 直貴,Minnesota,Econ,Assi,Applied,Labor,2004,USA
"ITO, Koichiro",伊藤 公一朗,Chicago,PubP,Assi,Applied,IO,2004,USA
